Year,Start,End
1965.0,0.0,40.0
1965.0,0.0,74.0
1965.0,1.0,67.0
1965.0,1.0,85.0
1965.0,2.0,99.0
1965.0,2.0,36.0
1965.0,3.0,85.0
1965.0,3.0,51.0
1965.0,4.0,86.0
1965.0,4.0,40.0
1965.0,5.0,35.0
1965.0,5.0,40.0
1965.0,6.0,86.0
1965.0,6.0,4.0
1965.0,7.0,67.0
1965.0,7.0,15.0
1965.0,8.0,5.0
1965.0,8.0,13.0
1965.0,9.0,85.0
1965.0,9.0,28.0
1965.0,10.0,85.0
1965.0,10.0,86.0
1965.0,11.0,84.0
1965.0,11.0,57.0
1965.0,12.0,40.0
1965.0,12.0,46.0
1965.0,13.0,15.0
1965.0,13.0,86.0
1965.0,14.0,65.0
1965.0,14.0,86.0
1965.0,15.0,93.0
1965.0,15.0,35.0
1965.0,16.0,57.0
1965.0,16.0,36.0
1965.0,17.0,46.0
1965.0,17.0,55.0
1965.0,18.0,40.0
1965.0,18.0,84.0
1965.0,19.0,67.0
1965.0,19.0,76.0
1965.0,20.0,36.0
1965.0,20.0,67.0
1965.0,21.0,40.0
1965.0,21.0,86.0
1965.0,22.0,13.0
1965.0,22.0,86.0
1965.0,23.0,57.0
1965.0,23.0,37.0
1965.0,24.0,85.0
1965.0,24.0,67.0
1965.0,25.0,28.0
1965.0,25.0,35.0
1965.0,26.0,15.0
1965.0,26.0,99.0
1965.0,27.0,67.0
1965.0,27.0,85.0
1965.0,28.0,86.0
1965.0,28.0,85.0
1965.0,29.0,85.0
1965.0,29.0,67.0
1965.0,30.0,36.0
1965.0,30.0,74.0
1965.0,31.0,75.0
1965.0,31.0,85.0
1965.0,32.0,84.0
1965.0,32.0,40.0
1965.0,33.0,85.0
1965.0,33.0,67.0
1965.0,34.0,40.0
1965.0,34.0,28.0
1965.0,35.0,85.0
1965.0,36.0,40.0
1965.0,36.0,84.0
1965.0,37.0,36.0
1965.0,37.0,57.0
1965.0,38.0,40.0
1965.0,38.0,84.0
1965.0,39.0,84.0
1965.0,39.0,21.0
1965.0,40.0,84.0
1965.0,40.0,86.0
1965.0,41.0,99.0
1965.0,41.0,36.0
1965.0,42.0,35.0
1965.0,42.0,85.0
1965.0,43.0,85.0
1965.0,43.0,86.0
1965.0,44.0,99.0
1965.0,44.0,36.0
1965.0,45.0,99.0
1965.0,45.0,36.0
1965.0,46.0,67.0
1965.0,46.0,82.0
1965.0,47.0,99.0
1965.0,47.0,15.0
1965.0,48.0,15.0
1965.0,48.0,18.0
1965.0,49.0,86.0
1965.0,49.0,63.0
1965.0,50.0,40.0
1965.0,50.0,84.0
1965.0,51.0,85.0
1965.0,51.0,36.0
1965.0,52.0,67.0
1965.0,52.0,95.0
1965.0,53.0,5.0
1965.0,53.0,35.0
1965.0,54.0,43.0
1965.0,54.0,85.0
1965.0,55.0,67.0
1965.0,55.0,40.0
1965.0,56.0,65.0
1965.0,56.0,86.0
1965.0,57.0,85.0
1965.0,57.0,36.0
1965.0,58.0,15.0
1965.0,58.0,35.0
1965.0,59.0,86.0
1965.0,59.0,99.0
1965.0,60.0,84.0
1965.0,60.0,86.0
1965.0,61.0,28.0
1965.0,61.0,43.0
1965.0,62.0,85.0
1965.0,62.0,57.0
1965.0,63.0,40.0
1965.0,63.0,67.0
1965.0,64.0,86.0
1965.0,64.0,85.0
1965.0,65.0,40.0
1965.0,65.0,85.0
1965.0,66.0,57.0
1965.0,66.0,85.0
1965.0,67.0,40.0
1965.0,67.0,86.0
1965.0,68.0,85.0
1965.0,68.0,84.0
1965.0,69.0,86.0
1965.0,69.0,95.0
1965.0,70.0,86.0
1965.0,70.0,38.0
1965.0,71.0,85.0
1965.0,71.0,67.0
1965.0,72.0,40.0
1965.0,72.0,67.0
1965.0,73.0,74.0
1965.0,73.0,85.0
1965.0,74.0,36.0
1965.0,74.0,40.0
1965.0,75.0,85.0
1965.0,76.0,43.0
1965.0,76.0,85.0
1965.0,77.0,85.0
1965.0,77.0,67.0
1965.0,78.0,4.0
1965.0,78.0,15.0
1965.0,79.0,40.0
1965.0,79.0,85.0
1965.0,80.0,15.0
1965.0,80.0,13.0
1965.0,81.0,74.0
1965.0,81.0,99.0
1965.0,82.0,95.0
1965.0,82.0,57.0
1965.0,83.0,99.0
1965.0,83.0,36.0
1965.0,84.0,85.0
1965.0,87.0,57.0
1965.0,87.0,36.0
1965.0,88.0,35.0
1965.0,88.0,67.0
1965.0,89.0,85.0
1965.0,89.0,65.0
1965.0,90.0,86.0
1965.0,90.0,74.0
1965.0,91.0,40.0
1965.0,91.0,85.0
1965.0,92.0,43.0
1965.0,92.0,84.0
1965.0,93.0,40.0
1965.0,94.0,57.0
1965.0,94.0,35.0
1965.0,95.0,36.0
1965.0,95.0,67.0
1965.0,96.0,99.0
1965.0,96.0,36.0
1965.0,97.0,40.0
1965.0,97.0,85.0
1965.0,98.0,85.0
1965.0,98.0,74.0
1965.0,99.0,85.0
1965.0,99.0,86.0
1966.0,0.0,99.0
1966.0,0.0,36.0
1966.0,1.0,96.0
1966.0,1.0,64.0
1966.0,2.0,96.0
1966.0,2.0,8.0
1966.0,3.0,96.0
1966.0,3.0,13.0
1966.0,4.0,8.0
1966.0,4.0,25.0
1966.0,5.0,96.0
1966.0,5.0,8.0
1966.0,6.0,96.0
1966.0,6.0,8.0
1966.0,7.0,29.0
1966.0,7.0,96.0
1966.0,8.0,96.0
1966.0,8.0,47.0
1966.0,9.0,96.0
1966.0,9.0,40.0
1966.0,10.0,8.0
1966.0,10.0,61.0
1966.0,11.0,29.0
1966.0,11.0,96.0
1966.0,12.0,1.0
1966.0,12.0,25.0
1966.0,13.0,96.0
1966.0,14.0,25.0
1966.0,14.0,57.0
1966.0,15.0,24.0
1966.0,15.0,30.0
1966.0,16.0,96.0
1966.0,16.0,64.0
1966.0,17.0,2.0
1966.0,17.0,64.0
1966.0,18.0,19.0
1966.0,18.0,22.0
1966.0,19.0,3.0
1966.0,19.0,22.0
1966.0,20.0,24.0
1966.0,20.0,47.0
1966.0,21.0,15.0
1966.0,21.0,8.0
1966.0,22.0,8.0
1966.0,22.0,64.0
1966.0,23.0,29.0
1966.0,23.0,30.0
1966.0,24.0,8.0
1966.0,24.0,96.0
1966.0,25.0,96.0
1966.0,25.0,29.0
1966.0,26.0,64.0
1966.0,26.0,1.0
1966.0,27.0,96.0
1966.0,27.0,8.0
1966.0,28.0,96.0
1966.0,28.0,30.0
1966.0,29.0,47.0
1966.0,30.0,96.0
1966.0,30.0,8.0
1966.0,31.0,99.0
1966.0,31.0,36.0
1966.0,32.0,96.0
1966.0,32.0,30.0
1966.0,33.0,1.0
1966.0,33.0,20.0
1966.0,34.0,96.0
1966.0,34.0,3.0
1966.0,35.0,1.0
1966.0,35.0,96.0
1966.0,36.0,58.0
1966.0,36.0,96.0
1966.0,37.0,96.0
1966.0,37.0,1.0
1966.0,38.0,1.0
1966.0,38.0,19.0
1966.0,39.0,51.0
1966.0,39.0,8.0
1966.0,40.0,96.0
1966.0,40.0,64.0
1966.0,41.0,22.0
1966.0,41.0,51.0
1966.0,42.0,22.0
1966.0,42.0,73.0
1966.0,43.0,57.0
1966.0,43.0,96.0
1966.0,44.0,20.0
1966.0,44.0,64.0
1966.0,45.0,30.0
1966.0,45.0,96.0
1966.0,46.0,20.0
1966.0,46.0,8.0
1966.0,48.0,96.0
1966.0,48.0,8.0
1966.0,49.0,30.0
1966.0,49.0,64.0
1966.0,50.0,53.0
1966.0,50.0,64.0
1966.0,51.0,30.0
1966.0,51.0,20.0
1966.0,52.0,1.0
1966.0,52.0,22.0
1966.0,53.0,1.0
1966.0,53.0,8.0
1966.0,54.0,19.0
1966.0,54.0,90.0
1966.0,55.0,1.0
1966.0,55.0,13.0
1966.0,56.0,24.0
1966.0,56.0,1.0
1966.0,57.0,8.0
1966.0,58.0,8.0
1966.0,58.0,96.0
1966.0,59.0,25.0
1966.0,59.0,8.0
1966.0,60.0,8.0
1966.0,60.0,47.0
1966.0,61.0,24.0
1966.0,61.0,8.0
1966.0,62.0,58.0
1966.0,62.0,43.0
1966.0,63.0,8.0
1966.0,63.0,96.0
1966.0,64.0,96.0
1966.0,65.0,99.0
1966.0,65.0,36.0
1966.0,66.0,96.0
1966.0,66.0,1.0
1966.0,67.0,8.0
1966.0,67.0,96.0
1966.0,68.0,64.0
1966.0,68.0,3.0
1966.0,69.0,8.0
1966.0,69.0,7.0
1966.0,70.0,96.0
1966.0,70.0,51.0
1966.0,71.0,1.0
1966.0,71.0,96.0
1966.0,72.0,25.0
1966.0,72.0,8.0
1966.0,73.0,1.0
1966.0,73.0,96.0
1966.0,74.0,96.0
1966.0,74.0,58.0
1966.0,75.0,47.0
1966.0,75.0,8.0
1966.0,76.0,1.0
1966.0,76.0,47.0
1966.0,77.0,99.0
1966.0,77.0,36.0
1966.0,78.0,8.0
1966.0,78.0,25.0
1966.0,79.0,99.0
1966.0,79.0,36.0
1966.0,80.0,64.0
1966.0,80.0,96.0
1966.0,81.0,30.0
1966.0,81.0,8.0
1966.0,82.0,58.0
1966.0,82.0,9.0
1966.0,83.0,8.0
1966.0,83.0,1.0
1966.0,84.0,8.0
1966.0,84.0,61.0
1966.0,85.0,96.0
1966.0,85.0,8.0
1966.0,86.0,96.0
1966.0,86.0,8.0
1966.0,87.0,96.0
1966.0,87.0,24.0
1966.0,88.0,64.0
1966.0,88.0,7.0
1966.0,89.0,96.0
1966.0,89.0,25.0
1966.0,90.0,3.0
1966.0,90.0,61.0
1966.0,91.0,64.0
1966.0,91.0,96.0
1966.0,92.0,99.0
1966.0,92.0,36.0
1966.0,93.0,30.0
1966.0,93.0,47.0
1966.0,94.0,64.0
1966.0,94.0,96.0
1966.0,95.0,1.0
1966.0,95.0,20.0
1966.0,97.0,99.0
1966.0,97.0,36.0
1966.0,98.0,1.0
1966.0,98.0,8.0
1966.0,99.0,36.0
1967.0,0.0,81.0
1967.0,0.0,69.0
1967.0,1.0,12.0
1967.0,1.0,69.0
1967.0,2.0,57.0
1967.0,2.0,74.0
1967.0,3.0,81.0
1967.0,3.0,26.0
1967.0,4.0,81.0
1967.0,4.0,17.0
1967.0,5.0,81.0
1967.0,5.0,2.0
1967.0,6.0,95.0
1967.0,6.0,58.0
1967.0,7.0,84.0
1967.0,7.0,74.0
1967.0,8.0,56.0
1967.0,8.0,74.0
1967.0,9.0,40.0
1967.0,9.0,53.0
1967.0,10.0,12.0
1967.0,10.0,2.0
1967.0,11.0,2.0
1967.0,11.0,97.0
1967.0,12.0,58.0
1967.0,12.0,74.0
1967.0,13.0,74.0
1967.0,13.0,81.0
1967.0,14.0,74.0
1967.0,14.0,69.0
1967.0,15.0,99.0
1967.0,15.0,36.0
1967.0,16.0,53.0
1967.0,16.0,20.0
1967.0,17.0,53.0
