year,word
1960,can dig
1960,dig
1960,oh happy
1960,miles
1960,coal
1960,writer
1960,help
1960,im black
1960,Monday
1960,mine
1970,boogie
1970,love
1970,woman
1970,doo
1970,ron
1970,float
1970,band
1970,yes can
1970,willy
1970,funk
1980,love
1980,night
1980,heart
1980,shes
1980,tonight
1980,mickey
1980,ive
1980,seeds
1980,monkey
1980,time
1990,pump
1990,cuerpo
1990,will
1990,ever needed
1990,jam
1990,dip
1990,hmm
1990,don't hurt
1990,ill
1990,uhh
2000,wit
2000,club
2000,like
2000,bum
2000,girl
2000,shit
2000,go head
2000,shorty
2000,ima
2000,ass
2010,imma
2010,like
2010,bitch
2010,rack
2010,fuck
2010,wiggle
2010,go low
2010,hands
2010,put hands
2010,whoa oh
